Cipher,Mode,CPU,Length,Speed
AEGIS-128L,AEAD,AMD Ryzen 9 7950X,2048,158.8555556
AEGIS-128L,AEAD,AMD Ryzen 9 7950X,4096,175.7022222
AEGIS-128L,AEAD,AMD Ryzen 9 7950X,8192,185.7211111
AEGIS-128L,AEAD,AMD Ryzen 9 7950X,16384,190.5888889
AEGIS-128L,Encryption Only,AMD Ryzen 9 7950X,64,36.43
AEGIS-128L,Encryption Only,AMD Ryzen 9 7950X,256,93.13
AEGIS-128L,Encryption Only,AMD Ryzen 9 7950X,1024,154.56
AEGIS-128L,Encryption Only,AMD Ryzen 9 7950X,2048,173.72
AEGIS-128L,Encryption Only,AMD Ryzen 9 7950X,4096,183.46
AEGIS-128L,Encryption Only,AMD Ryzen 9 7950X,8192,189.83
AEGIS-128L,Encryption Only,AMD Ryzen 9 7950X,16384,192.24
AES-256-CTR,Encryption Only,AMD Ryzen 9 7950X,64,30.31
AES-256-CTR,Encryption Only,AMD Ryzen 9 7950X,256,64.92
AES-256-CTR,Encryption Only,AMD Ryzen 9 7950X,1024,87.15
AES-256-CTR,Encryption Only,AMD Ryzen 9 7950X,2048,91.8
AES-256-CTR,Encryption Only,AMD Ryzen 9 7950X,4096,94.87
AES-256-CTR,Encryption Only,AMD Ryzen 9 7950X,8192,96.77
AES-256-CTR,Encryption Only,AMD Ryzen 9 7950X,16384,97.48
AES-256-GCM,AEAD,AMD Ryzen 9 7950X,64,19.2172704
AES-256-GCM,AEAD,AMD Ryzen 9 7950X,256,37.2208432
AES-256-GCM,AEAD,AMD Ryzen 9 7950X,1024,47.694218
AES-256-GCM,AEAD,AMD Ryzen 9 7950X,2048,50.4672936
AES-256-GCM,AEAD,AMD Ryzen 9 7950X,4096,52.1985444
AES-256-GCM,AEAD,AMD Ryzen 9 7950X,8192,53.05720864
AES-256-GCM,AEAD,AMD Ryzen 9 7950X,16384,54.44
HiAE,AEAD,AMD Ryzen 9 7950X,64,12.27
HiAE,AEAD,AMD Ryzen 9 7950X,256,60.69666667
HiAE,AEAD,AMD Ryzen 9 7950X,1024,156.5222222
HiAE,AEAD,AMD Ryzen 9 7950X,2048,226.4877778
HiAE,AEAD,AMD Ryzen 9 7950X,4096,282.4833333
HiAE,AEAD,AMD Ryzen 9 7950X,8192,318.8088889
HiAE,AEAD,AMD Ryzen 9 7950X,16384,344.8766667
HiAE,Encryption Only,AMD Ryzen 9 7950X,64,23.64
HiAE,Encryption Only,AMD Ryzen 9 7950X,256,142.64
HiAE,Encryption Only,AMD Ryzen 9 7950X,1024,270.96
HiAE,Encryption Only,AMD Ryzen 9 7950X,2048,322.07
HiAE,Encryption Only,AMD Ryzen 9 7950X,4096,338.92
HiAE,Encryption Only,AMD Ryzen 9 7950X,8192,355.71
HiAE,Encryption Only,AMD Ryzen 9 7950X,16384,359.06
Rocca,AEAD,AMD Ryzen 9 7950X,64,12.21444444
Rocca,AEAD,AMD Ryzen 9 7950X,256,43.13333333
Rocca,AEAD,AMD Ryzen 9 7950X,1024,118.1322222
Rocca,AEAD,AMD Ryzen 9 7950X,2048,165.6966667
Rocca,AEAD,AMD Ryzen 9 7950X,4096,207.9311111
Rocca,AEAD,AMD Ryzen 9 7950X,8192,238.1055556
Rocca,AEAD,AMD Ryzen 9 7950X,16384,254.9877778
Rocca,Encryption Only,AMD Ryzen 9 7950X,64,27.37
Rocca,Encryption Only,AMD Ryzen 9 7950X,256,77.26
Rocca,Encryption Only,AMD Ryzen 9 7950X,1024,168.07
Rocca,Encryption Only,AMD Ryzen 9 7950X,2048,209.7
Rocca,Encryption Only,AMD Ryzen 9 7950X,4096,234.85
Rocca,Encryption Only,AMD Ryzen 9 7950X,8192,252.04
Rocca,Encryption Only,AMD Ryzen 9 7950X,16384,263.77
Rocca-S,AEAD,AMD Ryzen 9 7950X,64,11.11666667
Rocca-S,AEAD,AMD Ryzen 9 7950X,256,38.05777778
Rocca-S,AEAD,AMD Ryzen 9 7950X,1024,103.1766667
Rocca-S,AEAD,AMD Ryzen 9 7950X,2048,141.8455556
Rocca-S,AEAD,AMD Ryzen 9 7950X,4096,176.8377778
Rocca-S,AEAD,AMD Ryzen 9 7950X,8192,201.3155556
Rocca-S,AEAD,AMD Ryzen 9 7950X,16384,215.42
Rocca-S,Encryption Only,AMD Ryzen 9 7950X,64,23.81
Rocca-S,Encryption Only,AMD Ryzen 9 7950X,256,65.93
Rocca-S,Encryption Only,AMD Ryzen 9 7950X,1024,142.6
Rocca-S,Encryption Only,AMD Ryzen 9 7950X,2048,176.71
Rocca-S,Encryption Only,AMD Ryzen 9 7950X,4096,200.63
Rocca-S,Encryption Only,AMD Ryzen 9 7950X,8192,216.66
Rocca-S,Encryption Only,AMD Ryzen 9 7950X,16384,222.51
SNOW-V,Encryption Only,AMD Ryzen 9 7950X,64,5.26
SNOW-V,Encryption Only,AMD Ryzen 9 7950X,256,15.75
SNOW-V,Encryption Only,AMD Ryzen 9 7950X,1024,31.5
SNOW-V,Encryption Only,AMD Ryzen 9 7950X,2048,37.68
SNOW-V,Encryption Only,AMD Ryzen 9 7950X,4096,41.88
SNOW-V,Encryption Only,AMD Ryzen 9 7950X,8192,44.24
SNOW-V,Encryption Only,AMD Ryzen 9 7950X,16384,45.77
SNOW-V-GCM,AEAD,AMD Ryzen 9 7950X,64,9.865555556
SNOW-V-GCM,AEAD,AMD Ryzen 9 7950X,256,16.11111111
SNOW-V-GCM,AEAD,AMD Ryzen 9 7950X,1024,19.22666667
SNOW-V-GCM,AEAD,AMD Ryzen 9 7950X,2048,19.75888889
SNOW-V-GCM,AEAD,AMD Ryzen 9 7950X,4096,20.18111111
SNOW-V-GCM,AEAD,AMD Ryzen 9 7950X,8192,20.31777778
SNOW-V-GCM,AEAD,AMD Ryzen 9 7950X,16384,20.33666667
AEGIS-128L,AEAD,Apple M1,64,10.575
AEGIS-128L,AEAD,Apple M1,256,32.27
AEGIS-128L,AEAD,Apple M1,1024,70.13
AEGIS-128L,AEAD,Apple M1,2048,85.11
AEGIS-128L,AEAD,Apple M1,4096,91.65
AEGIS-128L,AEAD,Apple M1,8192,97.355
AEGIS-128L,AEAD,Apple M1,16384,100.5
AEGIS-128L,Encryption Only,Apple M1,64,17.81
AEGIS-128L,Encryption Only,Apple M1,256,45.57
AEGIS-128L,Encryption Only,Apple M1,1024,77.71
AEGIS-128L,Encryption Only,Apple M1,2048,91.98
AEGIS-128L,Encryption Only,Apple M1,4096,98.51
AEGIS-128L,Encryption Only,Apple M1,8192,99.05
AEGIS-128L,Encryption Only,Apple M1,16384,103
AES-256-CTR,Encryption Only,Apple M1,64,27.73
AES-256-CTR,Encryption Only,Apple M1,256,50.18
AES-256-CTR,Encryption Only,Apple M1,1024,64.59
AES-256-CTR,Encryption Only,Apple M1,2048,66.88
AES-256-CTR,Encryption Only,Apple M1,4096,68.26
